type,name,dependencies_count,dependencies,header
FUNCTION,RemoveLastDot,1,RemoveLastDot,CREATE FUNCTION [dbo].[RemoveLastDot]
FUNCTION,RemoveLastDot,1,RemoveLastDot,CREATE FUNCTION [dbo].[RemoveLastDot]
FUNCTION,ReturnZeroORNullForFloat,1,ReturnZeroORNullForFloat,CREATE FUNCTION [dbo].[ReturnZeroORNullForFloat]
FUNCTION,ReturnZeroWithNullForBit,1,ReturnZeroWithNullForBit,CREATE FUNCTION [dbo].[ReturnZeroWithNullForBit]
FUNCTION,ReturnZeroWithNullForFloat,1,ReturnZeroWithNullForFloat,create FUNCTION [dbo].[ReturnZeroWithNullForFloat]
FUNCTION,ReturnZeroWithNullForInt,1,ReturnZeroWithNullForInt,create FUNCTION [dbo].[ReturnZeroWithNullForInt]
FUNCTION,ReturnZeroWithNullForSmallInt,1,ReturnZeroWithNullForSmallInt,CREATE FUNCTION [dbo].[ReturnZeroWithNullForSmallInt]
FUNCTION,ReturnZeroWithNullForSmallInt,1,ReturnZeroWithNullForSmallInt,CREATE FUNCTION [dbo].[ReturnZeroWithNullForSmallInt]
FUNCTION,ReturnZeroWithNullForString,1,ReturnZeroWithNullForString,CREATE FUNCTION [dbo].[ReturnZeroWithNullForString]
FUNCTION,ReturnZeroWithNullForString500,1,ReturnZeroWithNullForString500,create FUNCTION [dbo].[ReturnZeroWithNullForString500]
FUNCTION,ReturnZeroWithNullForTinyInt,1,ReturnZeroWithNullForTinyInt,create FUNCTION [dbo].[ReturnZeroWithNullForTinyInt]
FUNCTION,ReturnZeroWithNullMoney,1,ReturnZeroWithNullMoney,CREATE FUNCTION [dbo].[ReturnZeroWithNullMoney]
FUNCTION,text_swap,0,,CREATE FUNCTION text_swap (@text nvarchar(4000))
FUNCTION,VAL,1,VAL,CREATE FUNCTION [dbo].[VAL] (@vchValue nvarchar(255)) RETURNS float
PROCEDURE,Auto_Edit_Act_Units,0,,CREATE PROCEDURE Auto_Edit_Act_Units
PROCEDURE,Auto_Edit_Grop_Names,0,,CREATE PROCEDURE Auto_Edit_Grop_Names
PROCEDURE,Auto_Edit_Units,0,,CREATE PROCEDURE Auto_Edit_Units
PROCEDURE,BRVIMPORT01_prepare,2,"BRVIMPORT01_prepare, brv_importer",CREATE PROCEDURE [dbo].[BRVIMPORT01_prepare]
PROCEDURE,BRVIMPORT02_unit,1,BRVIMPORT02_unit,CREATE PROCEDURE [dbo].[BRVIMPORT02_unit]
PROCEDURE,BRVIMPORT05_add_ader,0,,CREATE PROCEDURE BRVIMPORT05_add_ader @code int
PROCEDURE,change_book_in_project,14,"brv_HelpFilm, brv_MessageType, brv_SetSms, brv_Tender_AlfaFactor, brv_Tender_Import, brv_Tender_ImportFactors_Base, brv_Tender_Stages, brv_Tender_TendererCount, brv_special_type, change_book_in_project, dbo, pek_dis_point, pek_dis_state, pek_dis_zone","CREATE PROCEDURE [dbo].[change_book_in_project] @code int , @base_nusv int , @base_type int"
