type,name,dependencies_count,dependencies,header,category
PROCEDURE,CreateBrvFhbh,0,,CREATE PROCEDURE CreateBrvFhbh,تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,CreateBrvFhbhFk,8,"CreateBrvFhbhFk, brv_ader, brv_bgml, brv_dstb, brv_hmbs, brv_khmt, brv_nmmhb, brv_rzmt",create PROCEDURE [dbo].[CreateBrvFhbhFk],تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,CreateBrvMult,0,,CREATE PROCEDURE CreateBrvMult,تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,CreateBrvMultFk,5,"CreateBrvMultFk, brv_acts, brv_fhbh, brv_mult_acts, brv_mult_sub",create PROCEDURE [dbo].[CreateBrvMultFk],تبدیل/به‌روزرسانی/کپی مبانی
PROCEDURE,delete_all,0,,CREATE PROCEDURE delete_all AS,قفل/حذف/حفظ وابستگی
PROCEDURE,delete_contract,0,,CREATE PROCEDURE delete_contract @code int,قفل/حذف/حفظ وابستگی
PROCEDURE,Delete_delay,0,,"create procedure Delete_delay (@Pymn_Id int,@From_rad int ,@To_Rad int)",قفل/حذف/حفظ وابستگی
PROCEDURE,delete_dly_contract,0,,CREATE PROCEDURE delete_dly_contract @code int,قفل/حذف/حفظ وابستگی
PROCEDURE,DeleteStarItems,1,DeleteStarItems,CREATE PROCEDURE [dbo].[DeleteStarItems],قفل/حذف/حفظ وابستگی
PROCEDURE,dt_addtosourcecontrol,6,"dt_addtosourcecontrol, dt_adduserobject_vcs, dt_displayoaerror, dt_setpropertybyid, sp_OACreate, sp_OAMethod",create proc dbo.dt_addtosourcecontrol,نیازمند بررسی
PROCEDURE,dt_addtosourcecontrol_u,2,"dt_addtosourcecontrol, dt_addtosourcecontrol_u",create proc dbo.dt_addtosourcecontrol_u,نیازمند بررسی
PROCEDURE,dt_adduserobject,2,"dt_adduserobject, dtproperties",create procedure dbo.dt_adduserobject,نیازمند بررسی
PROCEDURE,dt_adduserobject_vcs,2,"dt_adduserobject_vcs, dtproperties",create procedure dbo.dt_adduserobject_vcs,نیازمند بررسی
