source_file,tip_no,form_title,module_family,capability_summary,web_interpretation
tx_tips_psn.txt,37,درخت پروژه ها,عمومی / نامشخص,امکان کپی بخشهای مختلف یک پروژه به پروژه دیگر به همراه توانایی تغییر سال پایه وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,38,دستیابی کاربران,عمومی / نامشخص,تعریف چندین نقش و کاربر برای دسترسی به اطلاعات پروژه های موجود و اطلاعات پایه وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,39,دستیابی کاربران,عمومی / نامشخص,امکان تعریف رمز عبور برای هر کاربر به طور کاملاً مجزا دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,40,درخت پروژه ها,عمومی / نامشخص,امکان بازیابی ا ز فایل های Backup گیری و همچنین آرشیو کردن پروژه ها وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,41,فهارس بهای پایه,عمومی / نامشخص,امکان دسترسی به اطلاعات پایه با توجه به سطح دستیابی تعریف شده وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,42,مسافت ها,عمومی / نامشخص,امکان مشاهده مسافت تمام نقاط مختلف کشور براساس وزارت راه وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,43,تقریب مقادیر,عمومی / نامشخص,امکان تعریف تقریب مقادیر متغیرهای فرم های موجود بر حسب نیاز وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,44,پيمان,عمومی / نامشخص,امکان اجرای پروژه های مترمربع زیربنا براساس فعالیت های پروژه وجود دارد .,نیازمند بررسی دستی
tx_tips_psn.txt,45,پيمان,فهرست‌بها / دفترچه,امکان تعریف دفترچه های (فهارس بها)خاص برای هر سیستم و دسترسی به آن در تمام پروژه های دیگر وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_psn.txt,46,پيمان,برآورد,امکان برآورد کردن پروژه با احتساب تعدیل با تعیین دوره مبنا و جاری در سیستم وجود دارد .,تعریف برآورد و آیتم‌های پایه
tx_tips_psn.txt,47,ضرایب,ضرایب,امکان تعریف ضرایب به تفکیک نوع آیتم ها از قبیل ستاره دار، فاکتوری و یا عادی وجود دارد .,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips_psn.txt,48,ضرایب,ضرایب,امکان تعریف عنوان ضرایب جدید و خاص پروژه جاری و نیز تغییر عناوین موجود وجود دارد .,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips_psn.txt,49,ضرایب,فهرست‌بها / دفترچه,امکان مشاهده ضرایب منطقه ای هر دفترچه وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_psn.txt,50,ضرایب,ضرایب,امکان محاسبه ضرایب طبقات و ارتفاع (ارتفاع مساوی یا غیرهمسان) وجود دارد .,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips_psn.txt,51,امکان کپی و Paste بین رکوردهای هر فرم از یک پروژه به سایر بخشهای مرتبط آن در سیستم وجود دارد .,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips_psn.txt,52,امکان تعریف موقعیت و ضریب برای هر یک از آنهادر سیستم وجود دارد .,ضرایب,,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips_psn.txt,53,درفرم ضرایب,برآورد,امکان تعریف ضرایب برآوردی و پيشنهادی پيمانکار به صورت مجزا وجود دارد.,تعریف برآورد و آیتم‌های پایه
tx_tips_psn.txt,54,ضرایب,آنالیز بها / منابع,امکان آنالیز ضریب بالاسری بر اساس تجهیز و برچيدن، پرسنل مستمر، ماشین آلات و... وجود دارد.,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_psn.txt,55,برگه مالی و فصول,فهرست‌بها / دفترچه,امکان مشاهده در صد رشد در سطح فصل و دفترچه ها وجود دارد.,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_svz.txt,1,دفترچه ها,فهرست‌بها / دفترچه,محاسبه مبلغ تجهیز به روشهای گوناگون تایید شده از جمله 45،45،10 یا 30،60،10 و ... وجود دادرد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_svz.txt,2,مابه التفاوت آهن و سیمان,تعدیل / شاخص,امکان محاسبه مابه التفاوت آهن و سیمان به روش فاقد تعدیل و  نیز براساس بخشنامه 23239 وجود دارد .,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips_svz.txt,3,مابه التفاوت آهن و سیمان,مابه‌التفاوت / اختلاف,دسترسی به قیمت های آزاد و پیوستهای یک و دو وجود دارد .,محاسبه اختلاف و مابه‌التفاوت اقلام
