path,name,category,size_kb,year_tokens
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_87.pdf,Note_NI_1404_87.pdf,یادداشت فهرست‌بها / فصل‌ها,2007.9,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_88.pdf,Note_NI_1404_88.pdf,یادداشت فهرست‌بها / فصل‌ها,2115.4,",88"
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_9.pdf,Note_NI_1404_9.pdf,یادداشت فهرست‌بها / فصل‌ها,1763.6,
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_92.pdf,Note_NI_1404_92.pdf,یادداشت فهرست‌بها / فصل‌ها,1945.7,",92"
pdfs_selected/Fhbh_No_Itms/Note_NI_1404_95.pdf,Note_NI_1404_95.pdf,یادداشت فهرست‌بها / فصل‌ها,1083.3,",95"
pdfs_selected/fhbh/Note_1403_1.pdf,Note_1403_1.pdf,یادداشت فهرست‌بها / فصل‌ها,4547.4,
pdfs_selected/fhbh/Note_1403_10.pdf,Note_1403_10.pdf,یادداشت فهرست‌بها / فصل‌ها,3104.5,
pdfs_selected/fhbh/Note_1403_11.pdf,Note_1403_11.pdf,یادداشت فهرست‌بها / فصل‌ها,2858.0,
pdfs_selected/fhbh/Note_1403_12.pdf,Note_1403_12.pdf,یادداشت فهرست‌بها / فصل‌ها,2496.2,
pdfs_selected/fhbh/Note_1403_14.pdf,Note_1403_14.pdf,یادداشت فهرست‌بها / فصل‌ها,979.9,
pdfs_selected/fhbh/Note_1403_15.pdf,Note_1403_15.pdf,یادداشت فهرست‌بها / فصل‌ها,1017.4,
pdfs_selected/fhbh/Note_1403_16.pdf,Note_1403_16.pdf,یادداشت فهرست‌بها / فصل‌ها,935.6,
pdfs_selected/fhbh/Note_1403_17.pdf,Note_1403_17.pdf,یادداشت فهرست‌بها / فصل‌ها,1029.7,
pdfs_selected/fhbh/Note_1403_18.pdf,Note_1403_18.pdf,یادداشت فهرست‌بها / فصل‌ها,831.3,
pdfs_selected/fhbh/Note_1403_19.pdf,Note_1403_19.pdf,یادداشت فهرست‌بها / فصل‌ها,1220.7,
pdfs_selected/fhbh/Note_1403_2.pdf,Note_1403_2.pdf,یادداشت فهرست‌بها / فصل‌ها,3073.3,
pdfs_selected/fhbh/Note_1403_20.pdf,Note_1403_20.pdf,یادداشت فهرست‌بها / فصل‌ها,1050.4,
pdfs_selected/fhbh/Note_1403_23.pdf,Note_1403_23.pdf,یادداشت فهرست‌بها / فصل‌ها,3240.8,
pdfs_selected/fhbh/Note_1403_24.pdf,Note_1403_24.pdf,یادداشت فهرست‌بها / فصل‌ها,760.8,
pdfs_selected/fhbh/Note_1403_25.pdf,Note_1403_25.pdf,یادداشت فهرست‌بها / فصل‌ها,2856.0,
pdfs_selected/fhbh/Note_1403_26.pdf,Note_1403_26.pdf,یادداشت فهرست‌بها / فصل‌ها,1821.5,
pdfs_selected/fhbh/Note_1403_27.pdf,Note_1403_27.pdf,یادداشت فهرست‌بها / فصل‌ها,2754.4,
pdfs_selected/fhbh/Note_1403_29.pdf,Note_1403_29.pdf,یادداشت فهرست‌بها / فصل‌ها,1592.2,
